文献,反应位置,底物,产物,中间体,催化剂,配体,溶剂,其它组分,条件（温度、时间、气氛、光源、波长等）,产率,dr,ee,er,直接从文献中抓取的提取错误,实验过程与操作顺序错误,文献中没有明确给出信息，需要模型进行推断，推断产生的错误
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"GeneralProcedureB-Entry21; PDF pages: 46, 47",step1: III (2.0 mmol); step2: I (2.0 mmol),"step2: N'-(2-bromophenyl)-2,2,2-trifluoro-N-(1H-pyrrolo[2,3-b]pyridin-1-yl)acetimidamide (0.26 g)",step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,50%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,GeneralProcedureB-Entry22; PDF pages: 47,step1: III (2.0 mmol); step2: I (2.0 mmol),step2: N'-(2-bromophenyl)-N-(1H-indol-1-yl)acetimidamide (0.30 g),step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,83%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,GeneralProcedureB-Entry23; PDF pages: 48,step1: III (2.0 mmol); step2: I (2.0 mmol),step2: 3x (0.37 g),step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,85%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,GeneralProcedureB-Entry24; PDF pages: 48,step1: III (2.0 mmol); step2: I (2.0 mmol),"step2: N'-(2-bromophenyl)-2-chloro-2,2-difluoro-N-(6-methyl-1H-indol-1-yl)acetimida mide (0.39 g)",step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,85%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,GeneralProcedureB-Entry25; PDF pages: 49,step1: III (2.0 mmol); step2: I (2.0 mmol),"step2: N'-(2-bromophenyl)-2,2,3,3,3-pentafluoro-N-(6-methyl-1H-indol-1-yl)propanimi damide (0.34 g)",step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,75%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"GeneralProcedureB-Entry26; PDF pages: 49, 50",step1: III (2.0 mmol); step2: I (2.0 mmol),"step2: N'-(2-bromophenyl)-2,2,3,3,3-pentafluoro-N-(4-fluoro-1H-indol-1-yl)propanimid amide (0.32 g)",step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,70%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,GeneralProcedureB-Entry27; PDF pages: 50,step1: III (2.0 mmol); step2: I (2.0 mmol),"step2: N'-(2-bromophenyl)-N-(4-chloro-1H-indol-1-yl)-2,2,3,3,3-pentafluoropropanimid amide (0.34 g)",step1: enolate of III,,,step1: THF (4 mL); step2: THF (2 mL),"step1: LiHMDS (2.0 mL, 2.0 mmol, 1.0 mol/L in hexane)",step1: temp: 0 °C; time: 5 min then 0.5 h; atm: argon; step2: temp: 0 °C then ambient temperature; time: 12 h; atm: argon,71%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureC-Entry1; PDF pages: 93, 94","1 (0.2 mmol, 1.0 equiv.)",(R)-Tert-butyl methyl(2-(trifluoromethyl)-1H-benzo[d]imidazol-1-yl)carbamate (25 mg),,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,77%,,92%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,ProcedureC-Entry2; PDF pages: 94,"1 (0.2 mmol, 1.0 equiv.)",(R)-Tert-butyl(5-chloro-2-(trifluoromethyl)-1H-benzo[d]imidazol-1-yl)(methyl)carbamate (29 mg),,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,80%,,91%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,ProcedureC-Entry3; PDF pages: 95,"1 (0.2 mmol, 1.0 equiv.)",(R)-Tert-butyl(5-fluoro-2-(trifluoromethyl)-1H-benzo[d]imidazol-1-yl)(methyl)carbamate (27 mg),,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,71%,,92%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureC-Entry4; PDF pages: 95, 96","1 (0.2 mmol, 1.0 equiv.)",(R)-Tert-butylmethyl(5-methyl-2-(trifluoromethyl)-1H-benzo[d]imidazol-1-yl)carbamate (28 mg),,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,75%,,91%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,ProcedureC-Entry5; PDF pages: 96,"1 (0.2 mmol, 1.0 equiv.)","(R)-Tert-butyl(2,5-bis(trifluoromethyl)-1H-benzo[d]imidazol-1-yl)(methyl)carbamate (26 mg)",,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,70%,,91%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,ProcedureC-Entry6; PDF pages: 97,"1 (0.2 mmol, 1.0 equiv.)",(R)-Tert-butylmethyl(5-(trifluoromethoxy)-2-(trifluoromethyl)-1H-benzo[d]imidazol-1-yl)carbamate (27 mg),,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,70%,,90%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,ProcedureC-Entry7; PDF pages: 97,"1 (0.2 mmol, 1.0 equiv.)",(R)-Methyl 1-((Tert-butoxycarbonyl)(methyl)amino)-2-(trifluoromethyl)-1H-benzo[d]imidazole-5-carboxylate (25 mg),,Pd(OAc)2 (5.0 mol%),(R)-SEGPHOS,toluene (2.0 mL),Cs2CO3 (1.2 equiv.),temp: 25 ℃; time: 18 hours; atm: anhydrous and oxygen-free,65%,,,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureD-Entry1; PDF pages: 135, 136",3 (0.2 mmol (1.0 equiv.)),(R)-1-(1H-indol-1-yl)-2-(trifluoromethyl)-1H-benzo[d]imidazole (31 mg),,Pd(OAc)2 (5.0 mol%),(S)-Xyl-BINAP,toluene (1.0 mL (pre-activation) + 1.0 mL (reaction)),Cs2CO3 (1.2 equiv.),"temp: 60 °C (20 min pre-stir), then 30 °C (18 h); time: 20 min pre-stir; 18 h reaction; atm: anhydrous, oxygen-free",62%,,92%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureD-Entry2; PDF pages: 135, 136, 137",3 (0.2 mmol (1.0 equiv.)),(R)-1-(1H-indol-1-yl)-5-methyl-2-(trifluoromethyl)-1H-benzo[d]imidazole (33 mg),,Pd(OAc)2 (5.0 mol%),(S)-Xyl-BINAP,toluene (1.0 mL (pre-activation) + 1.0 mL (reaction)),Cs2CO3 (1.2 equiv.),"temp: 60 °C (20 min pre-stir), then 30 °C (18 h); time: 20 min pre-stir; 18 h reaction; atm: anhydrous, oxygen-free",64%,,92%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureD-Entry3; PDF pages: 135, 136, 137, 138",3 (0.2 mmol (1.0 equiv.)),(R)-1-(1H-indol-1-yl)-5-methoxy-2-(trifluoromethyl)-1H-benzo[d]imidazole (32 mg),,Pd(OAc)2 (5.0 mol%),(S)-Xyl-BINAP,toluene (1.0 mL (pre-activation) + 1.0 mL (reaction)),Cs2CO3 (1.2 equiv.),"temp: 60 °C (20 min pre-stir), then 30 °C (18 h); time: 20 min pre-stir; 18 h reaction; atm: anhydrous, oxygen-free",61%,,92%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureD-Entry4; PDF pages: 135, 136, 138, 139",3 (0.2 mmol (1.0 equiv.)),(R)-5-fluoro-1-(1H-indol-1-yl)-2-(trifluoromethyl)-1H-benzo[d]imidazole (32 mg),,Pd(OAc)2 (5.0 mol%),(S)-Xyl-BINAP,toluene (1.0 mL (pre-activation) + 1.0 mL (reaction)),Cs2CO3 (1.2 equiv.),"temp: 60 °C (20 min pre-stir), then 30 °C (18 h); time: 20 min pre-stir; 18 h reaction; atm: anhydrous, oxygen-free",62%,,91%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"ProcedureD-Entry5; PDF pages: 135, 136, 139",3 (0.2 mmol (1.0 equiv.)),(R)-Methyl-1-(1H-indol-1-yl)-2-(trifluoromethyl)-1H-benzo[d]imidazole-5-carboxylate (27 mg),,Pd(OAc)2 (5.0 mol%),(S)-Xyl-BINAP,toluene (1.0 mL (pre-activation) + 1.0 mL (reaction)),Cs2CO3 (1.2 equiv.),"temp: 60 °C (20 min pre-stir), then 30 °C (18 h); time: 20 min pre-stir; 18 h reaction; atm: anhydrous, oxygen-free",57%,,90%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,NonGP-Entry1; PDF pages: 217,"4a (30.12 mg, 0.1 mmol)",acid product,,,,"N,N-Dimethylformamide (1.0 mL)",N-bromosuccinimide (0.4 mmol (4.0 equiv)),temp: 25 °C; time: 2 h,82%,,92%,,,,
enantioselective synthesis of benzimidazole atropisomers featuring a n‐n axis,"NonGP-Entry2; PDF pages: 220, 221","4t (31.53 mg, 0.1 mmol)",(S)-1-(2-(dicyclohexylphosphaneyl)-3-methyl-1H-indol-1-yl)-2-(trifluoromethyl)-1H-benzo[d]imidazole,,,,THF (1.0 mL),"iPr2NLi (0.1 mL, 0.2 mmol (2.0 equiv), 2.0 M in THF); dicyclohexylchlorophosphine (0.2 mmol (2.0 equiv))","temp: -78 °C; time: 2 h, then 2 h; atm: anhydrous, oxygen-free",73%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,"GeneralProcedureB-Entry1; PDF pages: 5, 7","N-(2-bromophenyl)acetamide (0.5 g, 2.34 mmol, 1.0 equiv.); corresponding amine (1.5 equiv.)",N'-(2-Bromophenyl)-N-(4-methoxy-2-methylphenyl)acetimidamide (1.45 g),,,,"dry DCM (6 mL, 0.30 M)","lutidine (0.6 mL, 5.15 mmol, 2.2 equiv.); triflic anhydride (1.1 equiv.)",temp: 0 °C then room temperature; time: 1 h then overnight; atm: argon,62%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry1; PDF pages: 5,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.54 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,75%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry2; PDF pages: 6,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromophenyl)-2-chloro-2,2-difluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.58 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,74%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry3; PDF pages: 6,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromophenyl)-2,2,3,3,3-pentafluoro-N-(4-methoxy-2-methylphenyl)propanimidamide (1.81 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,78%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry4; PDF pages: 7,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-methylphenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.51 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,71%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry5; PDF pages: 8,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-fluorophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.61 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,75%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry6; PDF pages: 8,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-chlorophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.76 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,79%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry7; PDF pages: 9,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2,4-Dibromophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.77 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,72%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry8; PDF pages: 9,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-(trifluoromethyl)phenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.98 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,82%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry9; PDF pages: 10,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-(tert-butyl)phenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.86 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,79%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry10; PDF pages: 10,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-(trifluoromethoxy)phenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.87 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,75%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry11; PDF pages: 11,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-4-cyanophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.66 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,76%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry12; PDF pages: 11,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-5-methylphenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.53 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,72%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry13; PDF pages: 12,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-5-(trifluoromethyl)phenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.76 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,73%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry14; PDF pages: 12,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-5-fluorophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.67 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,78%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry15; PDF pages: 13,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-5-chlorophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)-acetimidamide (1.61 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,72%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry16; PDF pages: 13,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-5-methoxyphenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)-acetimidamide (1.72 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,78%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry17; PDF pages: 14,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-5-(trifluoromethoxy)phenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)acetimidamide (1.57 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,71%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry18; PDF pages: 14,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: Methyl 4-bromo-3-((2,2,2-trifluoro-1-((4-methoxy-2-methylphenyl)amino)ethyl-idene)amino)benzoate (1.91 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,81%,,,,,,
enantioselective synthesis of atropisomeric biaryls by pd‐catalyzed asymmetric buchwald,GeneralProcedureA-Entry19; PDF pages: 15,step1: amine 1 (5.3 mmol); step2: aniline 2 (3.0 equiv.),"step2: N'-(2-Bromo-6-fluorophenyl)-2,2,2-trifluoro-N-(4-methoxy-2-methylphenyl)-acetimidamide (1.79 g)",step1: trifluoroacetimidoyl chloride product 1’,,,"step1: CCl4 (CCl4 (2.1 mL initial, amine dissolved in CCl4 2.1 mL, 22 mmol; initial CCl4 entry listed as 2.1 mL, 20 mmol)); step2: toluene","step1: PPh3 (3.45 g, 13.2 mmol); Et3N (0.73 mL, 5.3 mmol); TFA (0.34 mL, 4.4 mmol)",step1: temp: ice bath then reflux; time: 10 mins then 3 h; step2: temp: 120 ℃; time: overnight,75%,,,,,,
